000001,平安银行,平安银行股份有限公司,"Ping An Bank Co., Ltd."
000002,万  科Ａ,万科企业股份有限公司,"CHINA VANKE CO., LTD."
000004,国农科技,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO., LTD"
000005,世纪星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION
000006,深振业Ａ,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE(GROUP) CO.,LTD."
000007,全新好,深圳市全新好股份有限公司,"SHENZHEN Quanxinhao CO., LTD."
000008,神州高铁,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd."
000009,中国宝安,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO., LTD."
000010,美丽生态,深圳美丽生态股份有限公司,"SHENZHEN ECOBEAUTY CO., LTD."
000011,深物业A,深圳市物业发展(集团)股份有限公司,ShenZhen Properties & Resources Development (Group) Ltd.
000012,南  玻Ａ,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD."
000014,沙河股份,沙河实业股份有限公司,"SHAHE INDUSTRIAL CO.,LTD."
000016,深康佳Ａ,康佳集团股份有限公司,"KONKA GROUP CO.,LTD"
000017,深中华A,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) LIMITED
000018,神州长城,神州长城股份有限公司,"Sino Great Wall Co.,Ltd."
000019,深深宝Ａ,深圳市深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO.,LTD"
000020,深华发Ａ,深圳中恒华发股份有限公司,"SHENZHEN ZHONGHENG HUAFA CO., LTD."
000021,深科技,深圳长城开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD"
000022,深赤湾Ａ,深圳赤湾港航股份有限公司,Shenzhen Chiwan Wharf Holdings Limited
000023,深天地Ａ,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP)CO.,LTD"
000025,特  力Ａ,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd"
000026,飞亚达Ａ,飞亚达（集团）股份有限公司,FIYTA  HOLDINGS  LTD.
000027,深圳能源,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd."
000028,国药一致,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.
000029,深深房Ａ,深圳经济特区房地产(集团)股份有限公司,"ShenZhen Special Economic Zone Real Estate&Properties (Group) Co., Ltd."
000030,富奥股份,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company
000031,中粮地产,中粮地产（集团）股份有限公司,"COFCO  PROPERTY (GROUP) CO.,LTD."
000032,深桑达Ａ,深圳市桑达实业股份有限公司,"SHENZHEN SED INDUSTRY CO.,LTD"
000033,*ST新都,深圳新都酒店股份有限公司,"SHENZHEN CENTURY PLAZA HOTEL CO.,LTD"
000034,神州数码,神州数码集团股份有限公司,"Digital China Group Co.,Ltd."
000035,中国天楹,中国天楹股份有限公司,China Tianying Inc.
000036,华联控股,华联控股股份有限公司,CHINA UNION HOLDINGS LTD.
000037,*ST南电A,深圳南山热电股份有限公司,"SHENZHEN NANSHAN POWER STATION CO.,LTD"
000038,深大通,深圳大通实业股份有限公司,"SHENZHEN CAPSTONE INDUSTRIAL CO.,LTD."
000039,中集集团,中国国际海运集装箱(集团)股份有限公司,"CHINA INTERNATIONAL MARINE CONTAINERS (GROUP) CO., LTD"
000040,东旭蓝天,东旭蓝天新能源股份有限公司,"TUNGHSU AZURE RENEWABLE ENERGY CO.,LTD."
000042,中洲控股,深圳市中洲投资控股股份有限公司,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD"
000043,中航地产,中航地产股份有限公司,AVIC REAL ESTATE HOLDING COMPANY LIMITED
000045,深纺织Ａ,深圳市纺织(集团)股份有限公司,"SHENZHEN TEXTILE (HOLDINGS) CO., LTD"
000046,泛海控股,泛海控股股份有限公司,"OCEANWIDE HOLDINGS CO., LTD."
000048,康达尔,深圳市康达尔(集团)股份有限公司,"SHENZHEN KONDARL(GROUP)CO., LTD"
000049,德赛电池,深圳市德赛电池科技股份有限公司,"SHENZHEN DESAY BATTERY TECHNOLOGY CO.,LTD"
000050,深天马Ａ,天马微电子股份有限公司,"TIANMA MICROELECTRONICS CO., LTD"
000053,深基地Ｂ,深圳赤湾石油基地股份有限公司,"SHENZHEN CHIWAN PETROLEUM SUPPLY BASE CO., LTD"
000054,建摩B,重庆建设摩托车股份有限公司,"Chongqing Jianshe Motorcycle Co., Ltd."
000055,方大集团,方大集团股份有限公司,"CHINA FANGDA GROUP CO., LTD"
000056,皇庭国际,深圳市皇庭国际企业股份有限公司,"SHENZHEN WONGTEE INTERNATIONAL ENTERPRISE CO., LTD."
000058,深 赛 格,深圳赛格股份有限公司,"SHENZHEN SEG CO.,LTD"
000059,华锦股份,北方华锦化学工业股份有限公司,"North Huajin Chemical Industries Co.,Ltd"
000060,中金岭南,深圳市中金岭南有色金属股份有限公司,"SHENZHEN ZHONGJIN LINGNAN NONFEMET CO.,LTD"
000061,农 产 品,深圳市农产品股份有限公司,"SHENZHEN AGRICULTURAL PRODUCTS CO., LTD"
000062,深圳华强,深圳华强实业股份有限公司,"SHENZHEN HUAQIANG INDUSTRY CO., LTD"
000063,中兴通讯,中兴通讯股份有限公司,ZTE CORPORATION
000065,北方国际,北方国际合作股份有限公司,NORINCO International Cooperation Ltd.
000066,长城电脑,中国长城计算机深圳股份有限公司,CHINA GREATWALL COMPUTER SHENZHEN CO.，LTD.
000068,华控赛格,深圳华控赛格股份有限公司,"SHENZHEN HUAKONG SEG CO.,LTD."
000069,华侨城Ａ,深圳华侨城股份有限公司,"SHENZHEN OVERSEAS CHINESE TOWN CO.,LTD"
000070,特发信息,深圳市特发信息股份有限公司,"SHENZHEN SDG INFORMATION CO., LTD"
000078,海王生物,深圳市海王生物工程股份有限公司,"SHENZHEN NEPTUNUS BIOENGINEERING  CO.,LTD"
000088,盐 田 港,深圳市盐田港股份有限公司,"SHENZHEN YAN TIAN PORT HOLDINGS CO.,LTD"
000089,深圳机场,深圳市机场股份有限公司,"SHENZHEN AIRPORT CO.,LTD"
000090,天健集团,深圳市天健(集团)股份有限公司,"SHENZHEN TAGEN GROUP CO., LTD."
000096,广聚能源,深圳市广聚能源股份有限公司,"SHENZHEN GUANGJU ENERGY CO., LTD"
000099,中信海直,中信海洋直升机股份有限公司,"CITIC OFFSHORE HELICOPTER CO.,LTD"
000100,TCL 集团,TCL集团股份有限公司,TCL CORPORATION
000150,宜华健康,宜华健康医疗股份有限公司,"YIHUA HEALTHCARE Co., Ltd."
000151,中成股份,中成进出口股份有限公司,CHINA NATIONAL COMPLETE PLANT IMPORT  &  EXPORT CORPORATION LIMITED
000152,山  航Ｂ,山东航空股份有限公司,"SHANDONG AIRLINES CO.,LTD"
000153,丰原药业,安徽丰原药业股份有限公司,"ANHUI FENGYUAN PHARMACEUTICAL CO., LTD"
000155,*ST川化,川化股份有限公司,SICHUAN  CHEMICAL  COMPANY  LIMITED
000156,华数传媒,华数传媒控股股份有限公司,"Wasu Media Holding Co.,Ltd"
000157,中联重科,中联重科股份有限公司,"ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY CO., LTD"
000158,常山股份,石家庄常山纺织股份有限公司,"SHIJIAZHUANG CHANGSHAN TEXTILE CO.,LTD"
000159,国际实业,新疆国际实业股份有限公司,"XINJIANG INTERNATIONAL INDUSTRY CO.,LTD"
000160,南江B,承德南江股份有限公司,"CHENGDE NANJIANG CO., LTD."
